"time","src_ip","dst_ip","dport","sport","bytesin","bytesout","pkts","pktsin","pktsout","synin","synackout","rstin","rstout","get","post"
2021-03-21 23:00:00,40.126.31.10,213.61.202.114,14546,443,84,168,3,1,2,0,2,0,0,0,0
2021-03-21 23:00:00,213.61.202.114,94.82.64.194,9016,22863,0,90,1,0,1,0,0,0,0,0,0
2021-03-21 23:00:00,195.54.161.150,213.61.202.115,12874,56872,84,0,1,1,0,1,0,0,0,0,0
2021-03-21 23:00:01,93.44.184.27,213.61.202.116,993,3864,3541,12667,41,20,21,1,21,0,0,0,0
2021-03-21 23:00:01,93.44.184.27,213.61.202.116,993,3863,3006,8537,40,21,19,1,19,3,0,0,0
2021-03-21 23:00:01,94.82.64.194,213.61.202.114,31803,9016,168,84,3,2,1,0,1,1,1,0,0
2021-03-21 23:00:02,93.44.184.27,213.61.202.116,993,3864,463,341,8,5,3,0,3,3,0,0,0
2021-03-21 23:00:03,94.82.64.194,213.61.202.114,22863,9016,90,173,3,1,2,0,2,0,0,0,0
2021-03-21 23:00:03,213.61.202.114,94.82.64.194,9016,22863,0,90,1,0,1,0,0,0,0,0,0
2021-03-21 23:00:04,185.156.73.31,213.61.202.115,52594,59852,84,0,1,1,0,1,0,0,0,0,0
2021-03-21 23:00:04,89.200.133.147,213.61.202.117,8080,28325,84,0,1,1,0,0,0,0,0,0,0
2021-03-21 23:00:04,79.124.62.90,213.61.202.117,9155,43709,84,0,1,1,0,1,0,0,0,0,0
2021-03-21 23:00:05,143.198.61.207,213.61.202.115,8500,61953,84,0,1,1,0,1,0,0,0,0,0
2021-03-21 23:00:07,94.82.64.194,213.61.202.114,22863,9016,174,1044,4,2,2,0,2,0,0,0,0
2021-03-21 23:00:07,185.156.73.31,213.61.202.125,38847,59852,84,0,1,1,0,1,0,0,0,0,0
2021-03-21 23:00:09,89.200.133.147,213.61.202.117,8080,59946,84,0,1,1,0,0,0,0,0,0,0
2021-03-21 23:00:09,213.61.202.114,94.82.64.194,9016,24883,0,90,1,0,1,0,0,0,0,0,0
2021-03-21 23:00:09,94.82.64.194,213.61.202.114,22863,9016,84,84,2,1,1,0,1,0,1,0,0
2021-03-21 23:00:10,185.156.73.31,213.61.202.115,19827,59852,84,0,1,1,0,1,0,0,0,0,0
2021-03-21 23:00:10,108.61.249.110,213.61.202.118,80,34050,84,0,1,1,0,1,0,0,0,0,0
2021-03-21 23:00:10,76.174.172.246,213.61.202.122,26,56770,84,0,1,1,0,1,0,0,0,0,0
2021-03-21 23:00:10,193.27.229.207,213.61.202.126,40403,46810,84,0,1,1,0,1,0,0,0,0,0
2021-03-21 23:00:11,185.156.73.31,213.61.202.118,29616,59852,84,0,1,1,0,1,0,0,0,0,0
2021-03-21 23:00:12,185.156.73.31,213.61.202.122,20707,59852,84,0,1,1,0,1,0,0,0,0,0
2021-03-21 23:00:12,213.61.202.114,94.82.64.194,9016,24883,0,90,1,0,1,0,0,0,0,0,0
2021-03-21 23:00:12,52.215.192.226,213.61.202.116,993,12846,2836,7188,42,22,20,1,20,0,2,0,0
2021-03-21 23:00:13,95.217.229.171,213.61.202.114,17830,25461,84,0,1,1,0,0,0,0,0,0,0
2021-03-21 23:00:13,185.156.73.31,213.61.202.121,7112,59852,84,0,1,1,0,1,0,0,0,0,0
2021-03-21 23:00:13,185.156.73.31,213.61.202.120,58156,59852,84,0,1,1,0,1,0,0,0,0,0
2021-03-21 23:00:14,213.61.202.114,65.55.252.93,443,40004,0,90,1,0,1,0,0,0,0,0,0
2021-03-21 23:00:14,185.156.73.31,213.61.202.115,58156,59852,84,0,1,1,0,1,0,0,0,0,0
2021-03-21 23:00:14,212.70.149.71,213.61.202.116,465,58968,188,98,3,2,1,1,1,0,0,0,0
2021-03-21 23:00:14,94.82.64.194,213.61.202.114,22863,9016,84,0,1,1,0,0,0,1,0,0,0
2021-03-21 23:00:14,167.248.133.91,213.61.202.120,12114,43367,84,0,1,1,0,1,0,0,0,0,0
2021-03-21 23:00:14,185.156.73.31,213.61.202.119,7021,59852,84,0,1,1,0,1,0,0,0,0,0
2021-03-21 23:00:15,89.200.133.147,213.61.202.117,3074,54603,84,0,1,1,0,0,0,0,0,0,0
2021-03-21 23:00:15,89.200.133.147,213.61.202.120,465,50760,84,0,1,1,0,0,0,0,0,0,0
2021-03-21 23:00:16,52.215.192.232,213.61.202.116,993,14558,1966,5142,25,15,10,1,10,0,0,0,0
2021-03-21 23:00:16,74.120.14.95,213.61.202.116,18011,44305,84,0,1,1,0,1,0,0,0,0,0
2021-03-21 23:00:16,185.156.73.31,213.61.202.125,41541,59852,84,0,1,1,0,1,0,0,0,0,0
2021-03-21 23:00:17,213.61.202.114,65.55.252.93,443,40004,0,90,1,0,1,0,0,0,0,0,0
2021-03-21 23:00:17,89.200.133.147,213.61.202.120,8080,8067,84,0,1,1,0,0,0,0,0,0,0
2021-03-21 23:00:17,185.156.73.31,213.61.202.117,20707,59852,84,0,1,1,0,1,0,0,0,0,0
2021-03-21 23:00:17,94.82.64.194,213.61.202.114,24883,9016,90,173,3,1,2,0,2,0,0,0,0
2021-03-21 23:00:17,89.200.133.147,213.61.202.117,80,4066,84,0,1,1,0,0,0,0,0,0,0
2021-03-21 23:00:17,52.215.192.232,213.61.202.116,993,14558,870,2017,17,7,10,0,10,0,2,0,0
2021-03-21 23:00:18,212.70.149.71,213.61.202.116,465,58968,649,4097,8,4,4,0,4,0,0,0,0
2021-03-21 23:00:18,52.215.192.226,213.61.202.116,993,14548,2836,7159,42,22,20,1,20,0,2,0,0
2021-03-21 23:00:19,185.156.73.31,213.61.202.119,29616,59852,84,0,1,1,0,1,0,0,0,0,0
2021-03-21 23:00:19,94.23.57.8,213.61.202.118,80,443,84,84,2,1,1,1,1,0,0,0,0
2021-03-21 23:00:20,94.23.57.8,213.61.202.118,80,443,0,84,1,0,1,0,1,0,0,0,0
2021-03-21 23:00:20,79.124.62.90,213.61.202.117,8138,43709,84,0,1,1,0,1,0,0,0,0,0
2021-03-21 23:00:20,94.23.57.8,213.61.202.118,443,443,84,168,3,1,2,1,2,0,0,0,0
